structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skills,wikiNotes
2271,450,Complete the Easy Western Provinces Diary,Complete all of the easy tasks in the Western Provinces Achievement Diary,Global,Achievement,All,2,Medium,0.4,,See   Western Provinces Diary#Easy Requires Kandarin
2272,451,Complete the Medium Western Provinces Diary,Complete all of the medium tasks in the Western Provinces Achievement Diary,Global,Achievement,All,2,Medium,0.2,,See   Western Provinces Diary#Medium Requires Kandarin
5152,452,Complete the Falador Agility Course,Complete a lap of the Falador Rooftop Agility Course,Asgarnia,Skill,,2,Medium,79.9,AGILITY 50,50 Agility
5153,453,Obtain 20 Golden Nuggets,Obtain 20 Golden Nuggets from the Motherlode Mine beneath Falador,Asgarnia,Skill,,2,Medium,61.5,MINING 30,30 Mining
2281,454,Enter the Crafting Guild,Enter the Crafting Guild,Asgarnia,Skill,,2,Medium,76.7,CRAFTING 40,40 Crafting
2283,455,Craft a Body Rune,Craft a Body Rune from Essence at the Body Altar,Asgarnia,Skill,,2,Medium,46.1,RUNECRAFT 20,20 Runecraft
2286,456,Make 20 Stamina Potions,Make 20 Stamina Potions,Global,Skill,,2,Medium,13.9,HERBLORE 77,77 Herblore Super energy potions used must be at least 3 doses
2287,457,Harvest Any Herb at the Troll Stronghold,Harvest any herb you've grown at the Troll Stronghold,Asgarnia,Skill,,2,Medium,32.3,FARMING 9,9 Farming
2290,458,Defeat the Giant Mole,Defeat the Giant Mole beneath Falador,Asgarnia,Combat,All,2,Medium,61.8,,
2295,459,Defeat a Skeletal Wyvern,Defeat a Skeletal Wyvern in the Asgarnian Ice Dungeon,Asgarnia,Combat,,2,Medium,56.8,SLAYER 72,72 Slayer
2311,460,Defeat a Blue Dragon in Asgarnia,Defeat a Blue Dragon in Asgarnia,Asgarnia,Combat,All,2,Medium,80.2,,
5155,461,Charge an Amulet of Glory in the Heroes' Guild,Charge an Amulet of Glory at the Fountain of Heroes in the Heroes' Guild,Asgarnia,Combat,All,2,Medium,26.7,CRAFTING 80; HUNTER 83; MAGIC 68,"83 Hunter or both  80 Crafting and  68 Magic Completion of   Heroes' Quest. Alternatively, an amulet of glory (t) from hard clues can also be used."
2313,462,Defeat a Black Demon in Asgarnia,Defeat a Black Demon in Asgarnia,Asgarnia,Combat,All,2,Medium,73.9,,
5156,463,Defeat the Giant Mole 50 Times,Defeat the Giant Mole beneath Falador 50 times,Asgarnia,Combat,All,2,Medium,15.4,,
5157,464,Defeat the Giant Mole 150 Times,Defeat the Giant Mole beneath Falador 150 times,Asgarnia,Combat,All,2,Medium,7.6,,
2323,465,Complete the Easy Falador Diary,Complete all of the easy tasks in the Falador Achievement Diary,Asgarnia,Achievement,All,2,Medium,32.8,,See   Falador Diary#Easy
2324,466,Complete the Medium Falador Diary,Complete all of the medium tasks in the Falador Achievement Diary,Asgarnia,Achievement,All,2,Medium,21,,See   Falador Diary#Medium
5159,467,Unlock a Gate in Taverley Dungeon,Unlock a gate in Taverley Dungeon using the Dusty Key,Asgarnia,Combat,All,2,Medium,74.1,,
2330,468,Turn in 100 Mole Claws to Wyson the Gardener,Turn in 100 Mole Claws to Wyson the Gardener in Falador,Asgarnia,Combat,All,2,Medium,10.8,,
2332,469,Enter the Warriors' Guild,Enter the Warriors' Guild,Asgarnia,Other,All,2,Medium,82,ATTACK 99; STRENGTH 99,99 Attack or  99 Strength or a combined Attack and Strength level of 130
2335,470,Complete a Game of Novice Pest Control,Complete a game of Novice Pest Control or higher,Asgarnia,Minigame,All,2,Medium,79.6,,40 Combat level
2336,471,Complete a Game of Intermediate Pest Control,Complete a game of Intermediate Pest Control or higher,Asgarnia,Minigame,All,2,Medium,78.3,,70 Combat level
2338,472,Open the Crystal Chest,Open the Crystal Chest in Taverley,Asgarnia,Other,All,2,Medium,65.8,,
5165,473,Room 4 of Pyramid Plunder,Search the Golden Chest in Room 4 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,2,Medium,85.3,THIEVING 51,51 Thieving
5166,474,Room 5 of Pyramid Plunder,Search the Golden Chest in Room 5 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,2,Medium,80.3,THIEVING 61,61 Thieving
5167,475,Room 6 of Pyramid Plunder,Search the Golden Chest in Room 6 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,2,Medium,73.5,THIEVING 71,71 Thieving
2351,476,Pick a Spring Sq'irk,Pick a Spring Sq'irk in the Sorceress's Garden,Kharidian Desert,Minigame,,2,Medium,37.4,THIEVING 25,25 Thieving
2352,477,Pick a Autumn Sq'irk,Pick a Autumn Sq'irk in the Sorceress's Garden,Kharidian Desert,Minigame,,2,Medium,35.7,THIEVING 45,45 Thieving
5173,478,Turn in 10 Spring Sq'irkjuices to Osman,Turn in 10 Spring Sq'irkjuices to Osman in Al Kharid in one go,Kharidian Desert,Minigame,,2,Medium,5.7,THIEVING 25,25 Thieving
5176,479,Pickpocket a Bandit in the Bandit Camp,Pickpocket a Bandit in the Kharidian Desert's Bandit Camp,Kharidian Desert,Skill,,2,Medium,68.3,THIEVING 53,53 Thieving
2361,480,Turn in a Pyramid Top to Simon Templeton,Turn in a Pyramid Top to Simon Templeton at the Agility Pyramid,Kharidian Desert,Skill,,2,Medium,72.7,AGILITY 30,30 Agility
2363,481,Craft a Lava Rune at the Fire Altar,Craft a Lava Rune at the Fire Altar,Kharidian Desert,Skill,,2,Medium,39.3,RUNECRAFT 23,23 Runecraft
2367,482,Catch 30 Orange Salamanders,Catch 30 Orange Salamanders at Uzer,Kharidian Desert,Skill,,2,Medium,33.3,HUNTER 47,47 Hunter
2368,483,Mine 30 Chunks of Granite,Mine 30 chunks of Granite at the Kharidian Desert Quarry,Kharidian Desert,Skill,,2,Medium,50.5,MINING 45,45 Mining
2373,484,Defeat a Kalphite Guardian,Defeat a Kalphite Guardian in the Kharidian Desert,Kharidian Desert,Combat,All,2,Medium,85.1,,
2376,485,Cast Ice Rush,Cast the Ice Rush spell,Kharidian Desert,Combat,Support,2,Medium,75.9,MAGIC 58,58 Magic
2386,486,Complete the Easy Desert Diary,Complete all of the easy tasks in the Desert Achievement Diary,Kharidian Desert,Achievement,All,2,Medium,41,,See   Desert Diary#Easy
2387,487,Complete the Medium Desert Diary,Complete all of the medium tasks in the Desert Achievement Diary,Kharidian Desert,Achievement,All,2,Medium,32.6,,See   Desert Diary#Medium
2395,488,Complete Spirits of the Elid,Complete the Spirits of the Elid quest,Kharidian Desert,Quest,All,2,Medium,45.3,MAGIC 33; MINING 37; RANGED 37; THIEVING 37,"33 Magic,  37 Ranged,  37 Mining,  37 Thieving"
2399,489,Pray at the Elidinis Statuette,Pray at the Elidinis Statuette in Nardah,Kharidian Desert,Other,All,2,Medium,42.6,,Completion of   Spirits of the Elid
2405,490,Complete Shadow of the Storm,Complete the Shadow of the Storm quest,Kharidian Desert,Quest,All,2,Medium,21.8,CRAFTING 30,"30 Crafting Completion of   The Golem,   Demon Slayer"
2406,491,Complete The Golem,Complete The Golem quest,Kharidian Desert,Quest,All,2,Medium,42.2,CRAFTING 20; THIEVING 25,"20 Crafting,  25 Thieving"
5182,492,Floor 1 of the Hallowed Sepulchre,Complete floor 1 of the Hallowed Sepulchre in Darkmeyer,Morytania,Minigame,,2,Medium,31.8,AGILITY 52,52 Agility Completion of   Sins of the Father
5183,493,Floor 2 of the Hallowed Sepulchre,Complete floor 2 of the Hallowed Sepulchre in Darkmeyer,Morytania,Minigame,,2,Medium,29.3,AGILITY 62,62 Agility Completion of   Sins of the Father
5184,494,Floor 3 of the Hallowed Sepulchre,Complete floor 3 of the Hallowed Sepulchre in Darkmeyer,Morytania,Minigame,,2,Medium,23.3,AGILITY 72,72 Agility Completion of   Sins of the Father
2415,495,Purchase a Reward From the Hallowed Sepulchre,Purchase a reward from the Hallowed Sepulchre,Morytania,Minigame,,2,Medium,18.3,AGILITY 52,"52 Agility Completion of   Sins of the Father, see Hallowed Sepulchre page for other skill requirements"
5189,496,Complete the Canifis Agility Course,Complete a lap of the Canifis Rooftop Agility Course,Morytania,Skill,,2,Medium,89.9,AGILITY 40,40 Agility
2418,497,Complete the Werewolf Agility Course,Complete a lap of the Werewolf Agility Course,Morytania,Skill,,2,Medium,20.8,AGILITY 60,60 Agility Ring of charos
2421,498,Catch a Swamp Lizard in Morytania,Catch a Swamp Lizard in Morytania,Morytania,Skill,,2,Medium,65.8,HUNTER 29,29 Hunter
2424,499,Craft a Rune Using Daeyalt Essence,Craft any rune using Daeyalt Essence,Morytania,Skill,,2,Medium,18,MINING 60,60 Mining Completion of   Sins of the Father
2426,500,Assemble a Slayer Helm,Assemble a Slayer Helm,Morytania,Combat,,2,Medium,87.5,CRAFTING 55; SLAYER 58,"58 Slayer,  55 Crafting Unlocked Malevolent Masquerade for 400 Slayer reward points"
2427,501,Defeat a Gargoyle in Morytania,Defeat a Gargoyle in Morytania,Morytania,Combat,,2,Medium,86.3,SLAYER 75,75 Slayer
2430,502,Defeat a Fiyr Shade,Defeat a Fiyr Shade,Morytania,Combat,All,2,Medium,14.7,FIREMAKING 65,65 Firemaking Completion of   Shades of Mort'ton
2434,503,Defeat a Vyrewatch Sentinel,Defeat a Vyrewatch Sentinel in Darkmeyer,Morytania,Combat,All,2,Medium,49.3,,Completion of   Sins of the Father
2435,504,Defeat an Abyssal Demon in Morytania,Defeat an Abyssal Demon in Morytania,Morytania,Combat,,2,Medium,73,SLAYER 85,85 Slayer
2438,505,Equip a Piece of any Barrows Armour Set,Equip any piece of any Barrows armour set,Morytania,Combat,All,2,Medium,82.3,ATTACK 70; DEFENCE 70; RANGED 70,"70 Defence,  70 Attack, or  70 Ranged"
2441,506,Loot a Barrows Chest,Loot a Barrows Chest once,Morytania,Combat,All,2,Medium,93.1,,
2443,507,Equip a Granite Hammer or Granite Ring,Equip either a Granite Hammer or a Granite Ring,Morytania,Combat,All,2,Medium,55.6,ATTACK 50; DEFENCE 50; SLAYER 75; STRENGTH 50,"75 Slayer,  50 Strength, either  50 Attack or  50 Defence"
2465,508,Complete the Easy Morytania Diary,Complete all of the easy tasks in the Morytania Achievement Diary,Morytania,Achievement,All,2,Medium,26.2,,See   Morytania Diary#Easy
2466,509,Complete the Medium Morytania Diary,Complete all of the medium tasks in the Morytania Achievement Diary,Morytania,Achievement,All,2,Medium,22.2,,See   Morytania Diary#Medium
2470,510,Complete a Medium Temple Trek,Complete a medium Temple Trek,Morytania,Minigame,All,2,Medium,48.6,,
2471,511,Complete a Hard Temple Trek,Complete a hard Temple Trek,Morytania,Minigame,All,2,Medium,51.3,,
2476,512,Pet Frank,Pet Darkmeyer's goodest boy,Morytania,Other,All,2,Medium,39.1,,Partial completion of   Sins of the Father
2479,513,Achieve 100% Shades of Mort'Ton Sanctity,Achieve 100% Sanctity during the Shades of Mort'ton minigame,Morytania,Minigame,All,2,Medium,21.6,,Completion of   Shades of Mort'ton
2481,514,Equip a Salve Amulet (e),Equip a Salve Amulet (e),Morytania,Other,All,2,Medium,46.9,,Completion of   Lair of Tarn Razorlor
5201,515,Sacrifice Some Bones at the Chaos Temple,Sacrifice some Bones at the Western Chaos Temple altar,Wilderness,Skill,,2,Medium,94.9,,
2485,516,Bury Some Lava Dragon Bones,Bury some Lava Dragon Bones,Wilderness,Skill,,2,Medium,93.4,,
2489,517,Complete the Wilderness Agility Course,Complete a lap of the Wilderness Agility Course,Wilderness,Skill,,2,Medium,75.8,AGILITY 52,52 Agility
2490,518,Catch a Black Salamander,Catch a Black Salamander in the Wilderness,Wilderness,Skill,,2,Medium,43.2,HUNTER 67,67 Hunter
2491,519,Catch a Black Chinchompa,Catch a Black Chinchompa in the Wilderness,Wilderness,Skill,,2,Medium,50.2,HUNTER 73,73 Hunter
2496,520,Use the Abyss,Use the Abyss to access a Runecrafting Altar,Wilderness,Skill,,2,Medium,83.2,,
2497,521,Fill a Large Pouch,Fill a Large Pouch with Essence,Global,Skill,,2,Medium,22.7,RUNECRAFT 50,50 Runecraft
2500,522,Defeat a Lava Dragon in the Wilderness,Defeat a Lava Dragon in the Wilderness,Wilderness,Combat,All,2,Medium,95.3,,
2501,523,Defeat the Crazy Archaeologist,Defeat the Crazy Archaeologist in the Wilderness,Wilderness,Combat,All,2,Medium,86.4,,
2509,524,Defeat the Chaos Fanatic,Defeat the Chaos Fanatic in the Wilderness,Wilderness,Combat,All,2,Medium,79.1,,
2512,525,Defeat a Green Dragon in the Wilderness,Defeat a Green Dragon in the Wilderness,Wilderness,Combat,All,2,Medium,93.2,,
2515,526,Equip a Fedora,Equip a Fedora,Wilderness,Combat,All,2,Medium,55.5,,
2525,527,Obtain an Ecumenical Key,Obtain an Ecumenical Key as a drop in the Wilderness God Wars Dungeon,Wilderness,Combat,All,2,Medium,45.7,AGILITY 60; STRENGTH 60,60 Strength or  60 Agility
2526,528,Equip a Lava Battlestaff,Equip a Lava Battlestaff,Global,Combat,All,2,Medium,28.6,ATTACK 30; MAGIC 30,"30 Attack,  30 Magic Kandarin, Asgarnia, Wilderness, Morytania, Kourend, or Desert."
2528,529,Equip a Bracelet of Ethereum,Equip a Bracelet of Ethereum,Wilderness,Combat,All,2,Medium,92.2,,
2531,530,Order a Drink at The Old Nite,Order a drink at The Old Nite,Wilderness,Other,All,2,Medium,69.5,,
2536,531,Equip a God Cape,"Equip either a Saradomin Cape, a Guthix Cape or a Zamorak Cape",Wilderness,Combat,Support,2,Medium,74.1,MAGIC 60,60 Magic Completion of   Mage Arena I
2538,532,Cast Saradomin Strike,Cast the Saradomin Strike spell outside of the Mage Arena,Wilderness,Combat,Support,2,Medium,56.6,MAGIC 60,60 Magic Completion of   Mage Arena I
2539,533,Cast Claws of Guthix,Cast the Claws of Guthix spell outside of the Mage Arena,Wilderness,Combat,Support,2,Medium,55.8,MAGIC 60,60 Magic Completion of   Mage Arena I
2540,534,Cast Flames of Zamorak,Cast the Flames of Zamorak spell outside of the Mage Arena,Wilderness,Combat,Support,2,Medium,58,MAGIC 60,60 Magic Completion of   Mage Arena I
2541,535,Complete the Easy Wilderness Diary,Complete all of the easy tasks in the Wilderness Achievement Diary,Wilderness,Achievement,All,2,Medium,52.3,,See   Wilderness Diary#Easy
2542,536,Complete the Medium Wilderness Diary,Complete all of the medium tasks in the Wilderness Achievement Diary,Wilderness,Achievement,All,2,Medium,39.3,,See   Wilderness Diary#Medium
2551,537,Enter the Deep Wilderness Dungeon,Enter the Deep Wilderness Dungeon,Wilderness,Other,All,2,Medium,88.3,,
2554,538,Open One of Larran's Chests,Open either Larran's Small Chest or Larran's Big Chest,Wilderness,Combat,All,2,Medium,86.7,,
5211,539,Defeat a Crocodile,Defeat a Crocodile in the Kharidian Desert,Kharidian Desert,Combat,All,2,Medium,81.6,,
5212,540,Make a Combat Potion,Make a Combat Potion,Kharidian Desert,Skill,,2,Medium,58.6,HERBLORE 36,36 Herblore
2562,541,Complete the Easy Varrock Diary,Complete all of the easy tasks in the Varrock Achievement Diary,Misthalin,Achievement,All,2,Medium,35,,See   Varrock Diary#Easy
2563,542,Complete the Medium Varrock Diary,Complete all of the medium tasks in the Varrock Achievement Diary,Misthalin,Achievement,All,2,Medium,23.8,,See   Varrock Diary#Medium
2568,543,Complete the Easy Ardougne Diary,Complete all of the easy tasks in the Ardougne Achievement Diary,Kandarin,Achievement,All,2,Medium,36.5,,See   Ardougne Diary#Easy
2569,544,Complete the Medium Ardougne Diary,Complete all of the medium tasks in the Ardougne Achievement Diary,Kandarin,Achievement,All,2,Medium,16.1,,See   Ardougne Diary#Medium
3780,545,Defeat a Drake,Defeat a Drake in the Mount Karuulm Slayer Dungeon,Kourend & Kebos,Combat,,2,Medium,43,SLAYER 84,84 Slayer
5218,546,Equip some Steel armour,"Equip either a Steel Platebody, some Steel Platelegs or a Steel Full Helm",Global,Other,Unlocked,2,Medium,82,DEFENCE 5,5 Defence
5219,547,Equip some Black armour,"Equip either a Black Platebody, some Black Platelegs or a Black Full Helm",Global,Other,Unlocked,2,Medium,77.1,DEFENCE 10,10 Defence
3798,548,Equip a Willow Shield,Equip a Willow Shield,Global,Other,All,2,Medium,61.1,DEFENCE 30; FLETCHING 42; WOODCUTTING 30,"30 Defence,  42 Fletching 2 Willow logs ( 30  if chopping yourself)"
5220,549,Equip an Imcando Hammer,Equip an Imcando hammer,Asgarnia,Other,All,2,Medium,6.3,MINING 14,14 Mining
3800,550,Open an Ornate Lockbox,Open an Ornate Lockbox from the Camdozaal Vault,Asgarnia,Minigame,All,2,Medium,3.9,,
5941,551,10 Tempoross Kills,Help the Spirit Anglers subdue the Tempoross 10 times,Kharidian Desert,Skill,,2,Medium,29.6,FISHING 35,35 Fishing
3864,552,Cast Degrime Spell Full Clean,Clean 26 herbs at the same time using the Degrime spell,Kourend & Kebos,Skill,Support,2,Medium,38.1,MAGIC 70,70 Magic
3867,553,Inferior Demonbane Demon Kill,Kill a demon using the Inferior Demonbane spell,Kourend & Kebos,Skill,Support,2,Medium,23.4,MAGIC 44,44 Magic Cannot be an imp.
3868,554,Equip a Piece of Zealot's Robes,"Equip either a Zealot's helm, a Zealot's robe top, a Zealot's robe bottom or a Zealot's boots",Morytania,Combat,All,2,Medium,4.2,FIREMAKING 80,80 Firemaking Completion of   Shades of Mort'ton
3871,555,Open a Black Chest,Open a Black Chest from Shades of Mort'ton,Morytania,Minigame,All,2,Medium,16.1,FIREMAKING 35,35 Firemaking Completion of   Shades of Mort'ton
3873,556,Win a Game of Soul Wars,Win a game of Soul Wars,Misthalin,Minigame,All,2,Medium,44.2,,"40 Combat level,  500 Skills"
3899,557,Drink a Poison Chalice,Drink a Poison Chalice,Kandarin,Other,All,2,Medium,33.9,,
3900,558,Make some Flour,Make some Flour in a windmill,Global,Other,All,2,Medium,88.5,,
3901,559,Complete Fishing Contest,Complete the Fishing Contest Quest,Kandarin,Quest,All,2,Medium,38,FISHING 10,10 Fishing
4934,560,Guardians of the Rift 1 Rift closed,Close the Rift in the Temple of the Eye,Kharidian Desert,Skill,,2,Medium,36.7,RUNECRAFT 27,27 Runecraft
5945,561,Guardians of the Rift 10 Rifts closed,Close the Rift in the Temple of the Eye 10 times,Kharidian Desert,Skill,,2,Medium,11.4,RUNECRAFT 27,27 Runecraft
4947,562,Complete a Mahogany homes beginner contract,Complete a Mahogany homes beginner contract,Global,Minigame,,2,Medium,34.8,,
4948,563,Complete a Mahogany homes novice contract,Complete a Mahogany homes novice contract,Global,Minigame,,2,Medium,40.7,CONSTRUCTION 20,20 Construction
4949,564,Complete a Mahogany homes adept contract,Complete a Mahogany homes adept contract,Global,Minigame,,2,Medium,28.7,CONSTRUCTION 50,50 Construction
5947,565,Complete 10 Mahogany homes contracts,Complete 10 Mahogany homes contracts,Global,Minigame,,2,Medium,21.2,,
5948,566,Complete 25 Mahogany homes contracts,Complete 25 Mahogany homes contracts,Global,Minigame,,2,Medium,13.2,,
4955,567,Giants' Foundry 50 quality sword,Hand in a sword with at least 50 quality in Giants' Foundry,Kharidian Desert,Minigame,,2,Medium,45.5,,Completion of   Sleeping Giants
4956,568,Giants' Foundry 100 quality sword,Hand in a sword with at least 100 quality in Giants' Foundry,Kharidian Desert,Minigame,,2,Medium,38.8,,Completion of   Sleeping Giants
5949,569,Giants' Foundry 10 handins,Hand in 10 successful swords to Kovac,Kharidian Desert,Minigame,,2,Medium,26.7,,Completion of   Sleeping Giants
4961,570,Chop some Rising Roots,Chop some Rising Roots spawned via Forestry,Global,Minigame,,2,Medium,38,,
4962,571,Complete the Struggling Sapling event,Complete the Struggling Sapling event spawned via Forestry,Global,Minigame,,2,Medium,44.8,,
4963,572,Complete the Flowering Bush event,Complete the Flowering Bush event spawned via Forestry,Global,Minigame,,2,Medium,37.2,,
4964,573,Kill a Kalphite with the Keris Partisan,Kill a Kalphite with the Keris Partisan,Kharidian Desert,Combat,Combat,2,Medium,42.1,ATTACK 65,65 Attack Completion of   Beneath Cursed Sands
4981,574,Create the Divine Rune pouch,Create the Divine Rune pouch,Kharidian Desert,Combat,All,2,Medium,40,CRAFTING 75,75 Crafting Completion of   Beneath Cursed Sands
4991,575,Equip the Colossal Blade,Obtain and Equip the Colossal Blade from Giant's Foundry,Kharidian Desert,Minigame,,2,Medium,19.3,ATTACK 60; SMITHING 15,"15 Smithing,  60 Attack Completion of   Sleeping Giants"
4993,576,Obtain the Big Harpoonfish,Obtain the Big Harpoonfish from Tempoross,Kharidian Desert,Minigame,,2,Medium,6.1,FISHING 35,35 Fishing
4994,577,Equip the Tome of Water,Obtain and Equip the Tome of Water from Tempoross,Kharidian Desert,Minigame,,2,Medium,5.9,FISHING 35; MAGIC 50,"35 Fishing,  50 Magic"
4995,578,Equip Amy's Saw,Obtain and Equip Amy's Saw from Mahogany Homes,Asgarnia,Minigame,,2,Medium,19.9,,
4996,579,Obtain the Plank Sack,Obtain the Plank Sack from Mahogany Homes,Asgarnia,Minigame,,2,Medium,17,,
4998,580,Equip the Forestry Basket,Obtain and Equip the Forestry Basket,Misthalin,Minigame,,2,Medium,2.6,,
5006,581,Create the long rope shortcut in Darkmeyer,Create the long rope agility shortcut in Darkmeyer,Morytania,Skill,,2,Medium,27.8,,Completion of   Sins of the Father
5025,582,Kill three chickens in 6 seconds,Kill three chickens in 6 seconds,Global,Combat,All,2,Medium,70.1,,
5030,583,Smelt a mithril bar in a volcanic fissure,Smelt a Mithril bar in a volcanic Fissure,Kourend & Kebos,Skill,,2,Medium,43.1,SMITHING 50,50 Smithing
5036,584,Equip a full set of Yakhide Armour,Equip a full set of Yakhide Armour,Fremennik Province,Skill,,2,Medium,52.6,CRAFTING 46; DEFENCE 20,"46 Crafting,  20 Defence"
5038,585,Kill 8 penguins within 5 seconds,Kill 8 penguins within 5 seconds,Fremennik Province,Combat,All,2,Medium,23.8,,
5041,586,Destroy the one ring to rule them all,Destroy the one ring to rule them all,Wilderness,Other,All,2,Medium,67.2,,Use a gold ring on the Wilderness Volcano
5046,587,Ring all of the Prifddinas bells,Ring all of the Prifddinas bells,Tirannwn,Other,All,2,Medium,57.9,,
5049,588,Read a prayer book near a lectern,Read a prayer book near a lectern,Global,Other,All,2,Medium,5.8,,"Either Morytania for completion of   Great Brain Robbery, or Fremennik to complete a god book"
5052,589,Have the Taxidermist stuff something for you,Have the Taxidermist stuff something for you in Canifis,Morytania,Other,All,2,Medium,19.5,FISHING 46; SLAYER 5,"Big bass requires  46 Fishing, crawling hand requires  5 Slayer, Kbd heads require Wilderness, Kq head requires Desert, Vorkath's head requires Fremennik"
5062,590,Churn some butter,Use a churn to make some butter,Misthalin,Other,All,2,Medium,44.9,COOKING 38,38 Cooking
5065,591,Commune a Pharoah's Sceptre to the Necropolis,Commune a Pharaoh's Sceptre to the Necropolis,Kharidian Desert,Other,All,2,Medium,18.6,THIEVING 21,21 Thieving Completion of   Beneath Cursed Sands
5066,592,Telegrab a Bloody bracer,Telegrab a Bloody bracer in Slepe,Morytania,Other,Support,2,Medium,43.6,MAGIC 33,33 Magic
5072,593,Feed a ghast some sweets,Feed a ghast some sweets,Morytania,Other,All,2,Medium,48.7,,
5075,594,Open the Dark Chest,Open the Dark Chest,Misthalin,Combat,All,2,Medium,19.6,THIEVING 28,28 Thieving
5076,595,Scrape some blue dragonhide,Scrape some blue dragonhide,Global,Combat,,2,Medium,35.3,,
5077,596,Defeat the Evil chicken,Defeat the Evil chicken,Asgarnia,Combat,All,2,Medium,54.2,,
5081,597,Equip a frog mask,Equip a frog mask,Global,Other,All,2,Medium,42.1,,
5084,598,Make 50 Ancient Brews,Make 50 Ancient Brews,Asgarnia,Skill,,2,Medium,10.4,HERBLORE 85,85 Herblore Completion of   The Frozen Door
5087,599,Open 15 Larran's Chests,Open 15 of either Larran's Small Chest or Larran's Big Chest,Wilderness,Combat,All,2,Medium,67.7,,
5089,600,Open 1 Muddy Chest,Open 1 Muddy Chest,Wilderness,Combat,All,2,Medium,57,,
5097,601,Create a green d'hide shield,Create a green d'hide shield,Global,Skill,,2,Medium,13.2,CRAFTING 62; FLETCHING 57,"62 Crafting,  57 Fletching"
5100,602,Burn 20 Pyre Logs,Burn 20 Pyre Logs,Morytania,Skill,,2,Medium,14.3,FIREMAKING 5,5 Firemaking Completion of   Shades of Mort'ton
5103,603,Fletch 25 Oak Stocks,Fletch 25 Oak Stocks,Global,Skill,,2,Medium,71.5,FLETCHING 24,24 Fletching
5104,604,Fletch 1000 arrow shafts,Fletch 1000 arrow shafts,Global,Skill,,2,Medium,81.4,,
5114,605,Create a Guthix Rest Tea,Create a Guthix Rest Tea,Global,Skill,,2,Medium,13.9,HERBLORE 18,"18 Herblore Partial completion of   One Small Favour, requiring one of Asgarnia, Desert, Fremennik, or Kandarin"
5118,606,Mine 15 coal,Mine 15 coal,Global,Skill,,2,Medium,72.4,MINING 30,30 Mining
5121,607,Smith 10 Steel bolts (unf),Use an Anvil to smith 10 Steel bolts (unf),Global,Skill,,2,Medium,69.7,SMITHING 33,33 Smithing
5132,608,Kill a Black Dragon in Tirannwn,Kill a Black Dragon in Tirannwn,Tirannwn,Combat,All,2,Medium,70.1,,
5726,609,Complete Sleeping Giants,Complete Sleeping Giants quest,Kharidian Desert,Quest,All,2,Medium,55.7,SMITHING 15,15 Smithing
5760,610,Kill a Swordchick,Kill a Swordchick underneath the Tower of Life,Kandarin,Combat,All,2,Medium,30,,Completion of   Tower of Life
5761,611,Kill a Newtroost,Kill a Newtroost underneath the Tower of Life,Kandarin,Combat,All,2,Medium,19.3,,Completion of   Tower of Life
5763,612,Sell 20 Iron Sheets,Sell 20 Iron Sheets to Franklin Caranos,Kandarin,Other,All,2,Medium,17.4,SMITHING 45,45 Smithing
5767,613,5 Collection log slots,Obtain 5 unique collection log slots,Global,Achievement,All,2,Medium,83.2,,
5768,614,15 Collection log slots,Obtain 15 unique collection log slots,Global,Achievement,All,2,Medium,80,,
5769,615,30 Collection log slots,Obtain 30 unique collection log slots,Global,Achievement,All,2,Medium,77.2,,
5770,616,50 Collection log slots,Obtain 50 unique collection log slots,Global,Achievement,All,2,Medium,74,,
5837,617,Complete the Ritual Forestry Event,Complete the Ritual event spawned via Forestry,Global,Minigame,,2,Medium,44.6,,
5838,618,Complete the Pheasant Forestry Event,Complete the Pheasant event spawned via Forestry,Global,Minigame,,2,Medium,46.4,,
5842,619,Complete 10 Laps of the Varrock Agility Course,Complete 10 laps of the Varrock Rooftop Agility Course,Misthalin,Skill,,2,Medium,74.8,AGILITY 30,30 Agility
5843,620,Complete 1 Slayer Task,Complete 1 Slayer Task,Global,Combat,,2,Medium,80.8,,
2097,621,Eat Eel sushi,"Eat the Dorgeshuun delicacy, Eel sushi",Misthalin,Combat,All,2,Medium,9.5,,
2098,622,Use a Herring on a mighty tree,Use a herring on the mightiest of trees,Kandarin,Other,All,2,Medium,34.8,,
2107,623,Make a pie for Romily,"Make a pie for Romily, north west of Varrock",Misthalin,Other,,2,Medium,20.2,COOKING 32,32 Cooking
2113,624,Sleep in Paramaya Inn,"Pay the barkeep to sleep in Paramaya Inn, in Shilo Village",Karamja,Other,All,2,Medium,70.7,,
2114,625,Find the Needle,Dig in a hay stack for a needle,Global,Other,All,2,Medium,79.5,,
2115,626,Get a Gem from a Gorak,Obtain a gem drop from a Gorak,Misthalin,Combat,All,2,Medium,33.9,,
2119,627,Provide Terry a buckle,Show Terry Balando in the Digsite a Belt Buckle,Misthalin,Other,All,2,Medium,28.9,,
2121,628,Stun a monster,Use a blackjack to stun a monster,Kharidian Desert,Combat,All,2,Medium,25,DEFENCE 30; THIEVING 30,"30 Defence,  30 Thieving"
2124,629,Get 250 Target points,Achieve 250 points in the Target minigame in the Ranging Guild,Kandarin,Minigame,Artisan,2,Medium,37.5,RANGED 40,40 Ranged
